'WieCrLRW'		'10'	'3'	'03'	'352690'	'1'	'АПШЕРОНСК'	'УЛ.ВОРОШИЛОВА,54'	'040349001'	'РКЦ АПШЕРОНСК'	'АПШЕРОНСК'	'040305000'		'141055'	'02'	'211617'		'(86152)27574,27506'		'26965143'	01.09.05			20.01.94		
')->DL)CT'		'10'	'3'	'03'	'352900'	'1'	'АРМАВИР'	'УЛ.ЛЕНИНА,74'	'040349001'	'РКЦ АРМАВИР'	'АРМАВИР'	'040306000'		'141066'	'01'	'260106'		'(86137)45929,45955'		'26965151'	15.11.04			20.01.94		
'Ky@RGNvM'		'30'	'2'	'03'	'352900'	'1'	'АРМАВИР'	'УЛ.ЛЕНИНА,87'	'040306000'	'АРМАВИРСКИЙ ФИЛИАЛ ОАО АКБ "УРАЛСИБ-ЮГ БАНК"'	'УРАЛСИБ-ЮГ БАНК'	'040306709'	'700161209'	'141066'	'01'	'206111'		'(8237)45777,45988'	'457/4'	'09141067'	27.11.06		'30101810200000000709'	20.01.94		
')lpcC$YO'		'20'	'2'	'45'	'115093'	'1'	'МОСКВА'	'1-Й ЩИПКОВСКИЙ ПЕР.,1'	'044525000'	'КБ "ТРАСТ КАПИТАЛ БАНК" ЗАО'	'ТРАСТ КАПИТАЛ БАНК'	'044525557'			'01'			'(495)2360203,7879397'	'2741'	'33730725'	21.05.07		'30101810000000000557'	01.05.94		
')g9A7C-6'		'20'	'2'	'03'	'352909'	'1'	'АРМАВИР'	'УЛ.Р.ЛЮКСЕМБУРГ,225'	'040306000'	'ЗАО АКГБ "АРВЕСТА"'	'АРВЕСТА'	'040306791'	'700161791'	'141066'	'01'			'(8237)33372,33593'	'2926'	'34983112'	02.09.04		'30101810700000000791'	26.01.95		
'z#&5hb7R'		'10'	'3'	'03'	'352630'	'1'	'БЕЛОРЕЧЕНСК'	'УЛ.КРАСНАЯ,46'	'040349001'	'РКЦ БЕЛОРЕЧЕНСК'	'БЕЛОРЕЧЕНСК'	'040309000'		'141099'	'02'	'211034'		'(86155)22074,25283'		'26965172'	15.11.04			20.01.94		
'hSeEUNfU'		'10'	'3'	'03'	'353460'	'1'	'ГЕЛЕНДЖИК'	'УЛ.КИРОВА,56'	'040349001'	'РКЦ ГЕЛЕНДЖИК'	'ГЕЛЕНДЖИК'	'040313000'		'141130'	'02'	'711254'		'(86141)22553,21160'		'26965203'	15.11.04			20.01.94		
'SyNvq?XL'		'20'	'2'	'03'	'353460'	'1'	'ГЕЛЕНДЖИК'	'УЛ.ОСТРОВСКОГО,31'	'040313000'	'ОАО "ГЕЛЕНДЖИК-БАНК"'	'ГЕЛЕНДЖИК-БАНК'	'040313716'	'700161016'	'141130'	'01'	'279714'		'(86141)21341,35105'	'790'	'09801931'	29.08.05		'30101810000000000716'	20.01.94		
'wTL|rFGY'		'10'	'3'	'03'	'353291'	'1'	'ГОРЯЧИЙ КЛЮЧ'	'УЛ.ПСЕКУПСКАЯ,128'	'040349001'	'РКЦ ГОРЯЧИЙ КЛЮЧ'	'ГОРЯЧИЙ КЛЮЧ'	'040314000'		'141141'	'02'	'211816'		'(86159)36391,34248'		'26965216'	15.02.05			20.01.94		
'S8OxmE1Y'		'10'	'3'	'03'	'352190'	'1'	'ГУЛЬКЕВИЧИ'	'УЛ.СОВЕТСКАЯ,13'	'040349001'	'РКЦ ГУЛЬКЕВИЧИ'	'ГУЛЬКЕВИЧИ'	'040315000'		'141152'	'02'	'711776'		'(86160)51245,51280'		'26965226'	13.10.05			20.01.94		
